t_sec,presence,proximity,gaze,sws
1784870784.8,1.00,1.00,1.00,100.0
1784870785.8,1.00,1.00,0.80,94.0
1784870786.8,1.00,1.00,0.60,88.0
1784870787.8,1.00,1.00,0.70,91.0
1784870788.8,1.00,1.00,0.76,92.8
1784870789.8,1.00,1.00,0.80,94.0
1784870790.8,1.00,1.00,0.83,94.9
1784870791.8,1.00,1.00,0.85,95.5
1784870792.8,1.00,1.00,0.87,96.0
1784870793.8,1.00,1.00,0.88,96.4
1784870794.8,1.00,1.00,0.89,96.7
1784870795.8,1.00,1.00,0.90,97.0
1784870796.8,1.00,1.00,0.91,97.2
1784870797.8,1.00,1.00,0.91,97.4
1784870798.8,1.00,1.00,0.92,97.6
1784870799.8,1.00,1.00,0.93,97.8
1784870800.8,1.00,1.00,0.93,97.9
1784870801.8,1.00,1.00,0.93,98.0
1784870802.8,1.00,1.00,0.94,98.1
1784870803.8,1.00,1.00,0.94,98.2
1784870804.8,1.00,1.00,0.94,98.3
1784870805.8,1.00,1.00,0.95,98.4
1784870806.8,1.00,1.00,0.95,98.4
1784870807.8,1.00,1.00,0.95,98.5
1784870808.8,1.00,1.00,0.95,98.6
1784870809.8,1.00,1.00,0.95,98.6
1784870810.8,1.00,1.00,0.96,98.7
1784870811.8,1.00,1.00,0.96,98.7
1784870812.8,1.00,1.00,0.96,98.8
1784870813.8,1.00,1.00,0.96,98.8
1784870814.8,1.00,1.00,0.96,98.8
1784870815.8,1.00,1.00,0.97,99.2
1784870816.8,1.00,1.00,1.00,100.0
1784870817.8,1.00,1.00,1.00,100.0
1784870818.8,1.00,1.00,1.00,100.0
1784870819.8,1.00,1.00,1.00,100.0
1784870820.8,1.00,1.00,1.00,100.0
1784870821.8,1.00,1.00,1.00,100.0
1784870822.8,1.00,1.00,1.00,100.0
1784870823.8,1.00,1.00,1.00,100.0
1784870824.8,1.00,1.00,1.00,100.0
1784870825.8,1.00,1.00,1.00,100.0
1784870826.8,1.00,1.00,1.00,100.0
1784870827.8,1.00,1.00,1.00,100.0
1784870828.8,1.00,1.00,1.00,100.0
1784870829.8,1.00,1.00,1.00,100.0
1784870830.8,1.00,1.00,1.00,100.0
1784870831.8,1.00,1.00,1.00,100.0
1784870832.8,1.00,1.00,1.00,100.0
1784870833.8,1.00,1.00,1.00,100.0
1784870834.8,1.00,1.00,1.00,100.0
1784870835.8,1.00,1.00,1.00,100.0
1784870836.8,1.00,1.00,1.00,100.0
1784870837.8,1.00,1.00,1.00,100.0
1784870838.8,1.00,1.00,1.00,100.0
1784870839.8,1.00,1.00,1.00,100.0
1784870840.8,1.00,1.00,1.00,100.0
1784870841.8,1.00,1.00,1.00,100.0
1784870842.8,1.00,1.00,1.00,100.0
1784870843.8,1.00,1.00,1.00,100.0
1784870844.8,1.00,1.00,1.00,100.0
1784870845.8,1.00,1.00,1.00,100.0
1784870846.8,1.00,1.00,1.00,100.0
1784870847.8,1.00,1.00,1.00,100.0
1784870848.8,1.00,1.00,1.00,100.0
1784870849.8,1.00,1.00,1.00,100.0
1784870850.8,1.00,1.00,1.00,100.0
1784870851.8,1.00,1.00,1.00,100.0
1784870852.8,1.00,1.00,1.00,100.0
1784870853.8,1.00,1.00,1.00,100.0
1784870854.8,1.00,1.00,1.00,100.0
1784870855.8,1.00,1.00,1.00,100.0
1784870856.8,1.00,1.00,1.00,100.0
1784870857.8,1.00,1.00,1.00,100.0
1784870858.8,1.00,1.00,1.00,100.0
1784870859.8,1.00,1.00,1.00,100.0
1784870860.8,1.00,1.00,1.00,100.0
1784870861.8,1.00,1.00,1.00,100.0
1784870862.8,1.00,1.00,1.00,100.0
1784870863.8,1.00,1.00,1.00,100.0
1784870864.8,1.00,1.00,1.00,100.0
1784870865.8,1.00,1.00,1.00,100.0
1784870866.8,1.00,1.00,1.00,100.0
1784870867.8,1.00,1.00,1.00,100.0
1784870868.8,1.00,1.00,1.00,100.0
1784870869.8,1.00,1.00,1.00,100.0
1784870870.8,1.00,1.00,1.00,100.0
1784870871.8,1.00,1.00,1.00,100.0
1784870872.8,1.00,1.00,1.00,100.0
1784870873.8,1.00,1.00,1.00,100.0
1784870874.8,1.00,1.00,1.00,100.0
1784870875.8,1.00,1.00,1.00,100.0
1784870876.8,1.00,1.00,1.00,100.0
1784870877.8,1.00,1.00,1.00,100.0
1784870878.8,1.00,1.00,1.00,100.0
1784870879.8,1.00,1.00,1.00,100.0
1784870880.8,1.00,1.00,1.00,100.0
1784870881.8,1.00,1.00,1.00,100.0
1784870882.8,1.00,1.00,1.00,100.0
1784870883.8,1.00,1.00,1.00,100.0
1784870884.8,1.00,1.00,1.00,100.0
1784870885.8,1.00,1.00,1.00,100.0
1784870886.8,1.00,1.00,1.00,100.0
1784870887.8,1.00,1.00,1.00,100.0
1784870888.8,1.00,1.00,1.00,100.0
1784870889.8,1.00,1.00,1.00,100.0
1784870890.8,1.00,1.00,1.00,100.0
1784870891.8,1.00,1.00,1.00,100.0
1784870892.8,1.00,1.00,1.00,100.0
1784870893.8,1.00,1.00,1.00,100.0
1784870894.8,1.00,1.00,1.00,100.0
1784870895.8,1.00,1.00,1.00,100.0
1784870896.8,1.00,1.00,1.00,100.0
1784870897.8,1.00,1.00,1.00,100.0
1784870898.8,1.00,1.00,1.00,99.9
1784870899.8,1.00,1.00,1.00,99.9
1784870900.8,1.00,1.00,1.00,99.9
1784870901.8,1.00,1.00,1.00,99.9
1784870902.8,1.00,1.00,1.00,99.9
1784870903.8,1.00,1.00,1.00,99.9
1784870904.8,1.00,1.00,1.00,99.9
1784870905.8,1.00,1.00,1.00,99.9
1784870906.8,1.00,1.00,1.00,99.9
1784870907.8,1.00,1.00,1.00,99.9
1784870908.8,1.00,1.00,1.00,99.9
1784870909.8,1.00,1.00,1.00,99.9
1784870910.8,1.00,1.00,1.00,99.9
1784870911.8,1.00,1.00,0.99,99.7
1784870912.8,1.00,1.00,0.96,98.7
1784870913.8,1.00,1.00,0.92,97.7
1784870914.8,1.00,1.00,0.89,96.7
1784870915.8,1.00,1.00,0.86,95.8
1784870916.8,1.00,1.00,0.83,94.8
1784870917.8,1.00,1.00,0.80,94.0
1784870918.8,1.00,1.00,0.77,93.0
1784870919.8,1.00,1.00,0.73,92.0
1784870920.8,1.00,1.00,0.71,91.2
1784870921.8,1.00,1.00,0.68,90.3
1784870922.8,1.00,1.00,0.65,89.4
1784870923.8,1.00,1.00,0.64,89.1
1784870924.8,1.00,1.00,0.60,88.0
